id;locality;lat;long;svl;totalmass;liver;kidneys;spleen;gonads;neutrophil;lymphocyte;eosinophil;basophil;monocyte;totalcells;totalparasites
55;A;-23.819484;-46.358293;55;13.4058;0.4669;0.0476;0.005;0.0296;NA;NA;NA;NA;NA;NA;NA
56;A;-23.819484;-46.358293;50.32;10.1388;0.2182;0.0479;0.008;0.022;NA;NA;NA;NA;NA;NA;NA
59;A;-23.819484;-46.358293;57.4;13.4065;0.2585;0.0488;0.0096;0.0297;7;79;5;1;8;100;28
60;A;-23.819484;-46.358293;53.1;12.3473;0.1792;0.0416;0.0075;0.0222;6;87;4;0;3;100;25
61;A;-23.819484;-46.358293;55.5;11.6287;0.1727;0.046;0.0119;0.0202;4;89;3;0;4;100;10
62;A;-23.819484;-46.358293;52.87;11.3535;0.2743;0.0412;0.0092;0.0232;NA;NA;NA;NA;NA;NA;NA
77;A;-23.819484;-46.358293;52.5;10.7957;0.1873;0.054;0.0053;0.034;1;92;3;0;4;100;14
78;A;-23.819484;-46.358293;49.57;8.9525;0.226;0.0447;0.0185;0.0301;26;67;3;2;2;100;24
79;A;-23.819484;-46.358293;48.37;9.2242;0.2062;0.0484;0.0076;0.027;3;87;0;0;10;100;11
80;A;-23.819484;-46.358293;56.49;13.549;0.2597;0.0484;0.0108;0.0417;7;84;4;1;4;100;26
81;A;-23.819484;-46.358293;51.55;11.1533;0.3111;0.0569;0.0089;0.0657;10;88;1;0;1;100;19
97;A;-23.819484;-46.358293;56.5;12.9467;0.225;0.057;0.0159;0.023;7;87;5;0;1;100;25
98;A;-23.819484;-46.358293;58.19;13.8054;0.2983;0.0753;0.0153;0.048;7;85;4;0;4;100;20
100;A;-23.819484;-46.358293;48.55;11.3663;0.313;0.0443;0.0076;0.052;NA;NA;NA;NA;NA;NA;NA
101;A;-23.819484;-46.358293;56.28;13.187;0.2475;0.0495;0.0203;0.0251;4;90;6;0;0;100;22
102;A;-23.819484;-46.358293;50.78;10.3659;0.204;0.0506;0.0077;0.0298;4;79;3;0;14;100;8
103;A;-23.819484;-46.358293;56.6;11.5318;0.2356;0.0589;0.026;0.0276;NA;NA;NA;NA;NA;NA;NA
104;A;-23.819484;-46.358293;55.54;12.1954;0.2207;0.0533;0.0079;0.0263;NA;NA;NA;NA;NA;NA;NA
35;B;-23.822194;-46.313801;57.73;14.0036;0.2606;0.0426;0.008;0.0519;NA;NA;NA;NA;NA;NA;NA
36;B;-23.822194;-46.313801;56.65;14.2565;0.3629;0.0595;0.0132;0.0354;1;93;3;3;0;100;26
37;B;-23.822194;-46.313801;60.52;15.7499;0.3203;0.0576;0.0139;0.0414;8;85;6;0;1;100;15
38;B;-23.822194;-46.313801;59.03;14.5302;0.2334;0.0669;0.0076;0.0369;22;63;7;1;7;100;24
39;B;-23.822194;-46.313801;56.84;13.6201;0.2452;0.0485;0.0073;0.0349;14;70;11;0;5;100;8
44;B;-23.822194;-46.313801;57.45;13.8629;0.244;0.0474;0.011;0.029;13;79;1;0;7;100;7
45;B;-23.822194;-46.313801;56.4;12.3347;0.1583;0.0342;0.0091;0.0228;NA;NA;NA;NA;NA;NA;NA
46;B;-23.822194;-46.313801;58.43;13.3676;0.2224;0.0388;0.0145;0.0706;NA;NA;NA;NA;NA;NA;NA
47;B;-23.822194;-46.313801;61.99;16.7318;0.2742;0.0679;0.0101;0.0295;28;54;4;0;14;100;30
84;B;-23.822194;-46.313801;51.78;10.9193;0.1965;0.0351;0.0083;0.024;15;76;0;0;9;100;11
85;B;-23.822194;-46.313801;58.26;13.3172;0.2168;0.0511;0.0082;0.0186;6;88;3;0;3;100;69
86;B;-23.822194;-46.313801;58.25;14.3231;0.2293;0.0451;0.0086;0.0417;NA;NA;NA;NA;NA;NA;NA
87;B;-23.822194;-46.313801;56.11;12.4343;0.187;0.0624;0.0054;0.0288;21;54;15;0;10;100;32
88;B;-23.822194;-46.313801;63.24;17.9234;0.2452;0.0571;0.0158;0.0297;28;65;4;2;1;100;35
105;C;-23.776743;-46.108291;58.34;12.2154;0.1699;0.0335;0.007;0.014;13;72;5;0;10;100;21
106;C;-23.776743;-46.108291;51.5;9.4133;0.1375;0.0256;0.005;0.0274;20;67;10;0;3;100;15
107;C;-23.776743;-46.108291;58.21;12.9014;0.2056;0.0403;0.0067;0.0448;31;61;0;0;8;100;8
108;C;-23.776743;-46.108291;67.64;18.7749;0.3274;0.0709;0.0114;0.0378;NA;NA;NA;NA;NA;NA;NA
109;C;-23.776743;-46.108291;50.52;9.3942;0.1419;0.0315;0.0066;0.0181;26;67;1;0;6;100;10
110;C;-23.776743;-46.108291;64.95;18.949;0.3268;0.0579;0.0063;0.0356;31;65;0;0;4;100;15
111;C;-23.776743;-46.108291;64.15;16.1623;0.2647;0.0621;0.0196;0.0308;36;53;0;0;11;100;40
112;C;-23.776743;-46.108291;63.42;15.757;0.2215;0.049;0.0104;0.0456;27;55;5;0;13;100;19
124;C;-23.776743;-46.108291;60.91;14.6849;0.2226;0.0559;0.0096;0.0569;9;83;6;0;2;100;23
125;C;-23.776743;-46.108291;66.86;20.1652;0.3135;0.0777;0.0115;0.0367;20;73;5;0;2;100;43
132;C;-23.776743;-46.108291;66.58;19.8189;0.3064;0.0714;0.0101;0.0438;3;92;1;0;4;100;3
